,property_id,check_in_date,room_category,successful_bookings,capacity,occupancy_percentage %
215,17559,3-May-22,RT1,20,32.0,62.5
216,17562,3-May-22,RT1,10,20.0,50.0
217,17563,3-May-22,RT1,16,25.0,64.0
218,18558,3-May-22,RT1,8,15.0,53.33
219,18559,3-May-22,RT1,18,42.0,42.86
220,18561,3-May-22,RT1,19,33.0,57.58
221,18562,3-May-22,RT1,23,38.0,60.53
222,18563,3-May-22,RT1,13,27.0,48.15
223,19559,3-May-22,RT1,12,24.0,50.0
224,19561,3-May-22,RT1,20,36.0,55.56
225,17564,3-May-22,RT1,6,16.0,37.5
226,19562,3-May-22,RT2,14,23.0,60.87
227,18563,3-May-22,RT2,14,29.0,48.28
228,17561,3-May-22,RT2,23,36.0,63.89
229,17558,3-May-22,RT2,26,50.0,52.0
230,16562,3-May-22,RT2,19,43.0,44.19
231,16561,3-May-22,RT2,16,24.0,66.67
232,16558,3-May-22,RT2,14,22.0,63.64
233,19560,3-May-22,RT2,25,38.0,65.79
234,16563,3-May-22,RT2,24,38.0,63.16
235,16559,3-May-22,RT2,26,41.0,63.41
236,19559,3-May-22,RT2,22,41.0,53.66
237,19558,3-May-22,RT2,16,39.0,41.03
238,17559,3-May-22,RT2,24,39.0,61.54
239,16560,3-May-22,RT2,16,34.0,47.06
240,18562,3-May-22,RT2,22,34.0,64.71
241,18559,3-May-22,RT2,19,44.0,43.18
242,17563,3-May-22,RT2,30,44.0,68.18
243,17562,3-May-22,RT2,15,30.0,50.0
244,18558,3-May-22,RT2,16,30.0,53.33
245,17564,3-May-22,RT2,16,40.0,40.0
246,18561,3-May-22,RT2,25,40.0,62.5
247,18560,3-May-22,RT2,25,40.0,62.5
248,17560,3-May-22,RT2,22,45.0,48.89
249,19561,3-May-22,RT2,21,45.0,46.67
250,19563,3-May-22,RT2,23,45.0,51.11
251,19562,3-May-22,RT3,18,29.0,62.07
252,19561,3-May-22,RT3,14,29.0,48.28
253,18562,3-May-22,RT3,17,29.0,58.62
254,17558,3-May-22,RT3,15,27.0,55.56
255,17562,3-May-22,RT3,12,27.0,44.44
256,19559,3-May-22,RT3,14,27.0,51.85
257,16559,3-May-22,RT3,21,32.0,65.62
258,16558,3-May-22,RT3,5,8.0,62.5
259,18561,3-May-22,RT3,15,25.0,60.0
260,18560,3-May-22,RT3,15,24.0,62.5
261,16562,3-May-22,RT3,8,18.0,44.44
262,16561,3-May-22,RT3,13,21.0,61.9
263,16563,3-May-22,RT3,13,20.0,65.0
264,18558,3-May-22,RT3,13,26.0,50.0
265,18559,3-May-22,RT3,9,23.0,39.13
266,19558,3-May-22,RT3,9,21.0,42.86
267,16560,3-May-22,RT3,10,20.0,50.0
268,17559,3-May-22,RT3,10,16.0,62.5
269,17563,3-May-22,RT3,10,16.0,62.5
270,17561,3-May-22,RT3,12,19.0,63.16
271,19560,3-May-22,RT3,12,19.0,63.16
272,17560,3-May-22,RT3,11,25.0,44.0
273,18563,3-May-22,RT3,11,23.0,47.83
274,17564,3-May-22,RT3,11,24.0,45.83
275,17562,3-May-22,RT4,2,6.0,33.33
276,16558,3-May-22,RT4,2,3.0,66.67
277,19563,3-May-22,RT4,4,6.0,66.67
278,19561,3-May-22,RT4,4,7.0,57.14
279,18561,3-May-22,RT4,5,9.0,55.56
280,16561,3-May-22,RT4,7,10.0,70.0
281,17560,3-May-22,RT4,7,13.0,53.85
282,19559,3-May-22,RT4,1,3.0,33.33
283,17564,3-May-22,RT4,7,17.0,41.18
284,18560,3-May-22,RT4,9,15.0,60.0
285,19560,3-May-22,RT4,10,16.0,62.5
286,18559,3-May-22,RT4,9,19.0,47.37
287,17563,3-May-22,RT4,11,19.0,57.89
288,19562,3-May-22,RT4,9,14.0,64.29
289,17559,3-May-22,RT4,10,14.0,71.43
290,18558,3-May-22,RT4,10,20.0,50.0
291,18562,3-May-22,RT4,12,20.0,60.0
292,18563,3-May-22,RT4,8,18.0,44.44
293,16563,3-May-22,RT4,11,18.0,61.11
294,16559,3-May-22,RT4,11,18.0,61.11
295,16562,3-May-22,RT4,3,6.0,50.0
296,17558,3-May-22,RT4,3,6.0,50.0
297,16560,3-May-22,RT4,3,7.0,42.86
298,19558,3-May-22,RT4,3,7.0,42.86
299,17561,3-May-22,RT4,3,4.0,75.0
300,19563,4-May-22,RT3,15,29.0,51.72
301,18560,4-May-22,RT1,20,30.0,66.67
302,19562,4-May-22,RT1,17,30.0,56.67
303,19563,4-May-22,RT1,14,30.0,46.67
304,17558,4-May-22,RT1,9,19.0,47.37
305,16558,4-May-22,RT1,13,19.0,68.42
306,17560,4-May-22,RT1,22,40.0,55.0
307,19558,4-May-22,RT1,15,40.0,37.5
308,19560,4-May-22,RT1,16,26.0,61.54
309,17561,4-May-22,RT1,15,26.0,57.69
310,16560,4-May-22,RT1,17,34.0,50.0
311,16561,4-May-22,RT1,11,18.0,61.11
312,16562,4-May-22,RT1,16,31.0,51.61
313,16563,4-May-22,RT1,28,41.0,68.29
314,17559,4-May-22,RT1,19,32.0,59.38
315,17562,4-May-22,RT1,9,20.0,45.0
316,17563,4-May-22,RT1,16,25.0,64.0
317,18558,4-May-22,RT1,7,15.0,46.67
318,18559,4-May-22,RT1,18,42.0,42.86
319,18561,4-May-22,RT1,22,33.0,66.67
320,18562,4-May-22,RT1,25,38.0,65.79
321,18563,4-May-22,RT1,16,27.0,59.26
322,19559,4-May-22,RT1,12,24.0,50.0
323,19561,4-May-22,RT1,16,36.0,44.44
324,17564,4-May-22,RT1,7,16.0,43.75
325,19562,4-May-22,RT2,14,23.0,60.87
326,18563,4-May-22,RT2,16,29.0,55.17
327,17561,4-May-22,RT2,21,36.0,58.33
328,17558,4-May-22,RT2,27,50.0,54.0
329,16562,4-May-22,RT2,21,43.0,48.84
330,16561,4-May-22,RT2,15,24.0,62.5
331,16558,4-May-22,RT2,14,22.0,63.64
332,19560,4-May-22,RT2,21,38.0,55.26
333,16563,4-May-22,RT2,23,38.0,60.53
334,16559,4-May-22,RT2,28,41.0,68.29
335,19559,4-May-22,RT2,22,41.0,53.66
336,19558,4-May-22,RT2,18,39.0,46.15
337,17559,4-May-22,RT2,23,39.0,58.97
338,16560,4-May-22,RT2,20,34.0,58.82
339,18562,4-May-22,RT2,22,34.0,64.71
340,18559,4-May-22,RT2,19,44.0,43.18
341,17563,4-May-22,RT2,29,44.0,65.91
342,17562,4-May-22,RT2,11,30.0,36.67
343,18558,4-May-22,RT2,16,30.0,53.33
344,17564,4-May-22,RT2,18,40.0,45.0
345,18561,4-May-22,RT2,25,40.0,62.5
346,18560,4-May-22,RT2,28,40.0,70.0
347,17560,4-May-22,RT2,20,45.0,44.44
348,19561,4-May-22,RT2,21,45.0,46.67
349,19563,4-May-22,RT2,20,45.0,44.44
350,16559,4-May-22,RT1,21,30.0,70.0
351,19562,4-May-22,RT3,20,29.0,68.97
352,19561,4-May-22,RT3,13,29.0,44.83
353,18562,4-May-22,RT3,16,29.0,55.17
354,17558,4-May-22,RT3,12,27.0,44.44
355,17562,4-May-22,RT3,9,27.0,33.33
356,19559,4-May-22,RT3,14,27.0,51.85
357,16559,4-May-22,RT3,19,32.0,59.38
358,16558,4-May-22,RT3,6,8.0,75.0
359,18561,4-May-22,RT3,16,25.0,64.0
360,18560,4-May-22,RT3,17,24.0,70.83
361,17563,4-May-22,RT3,8,16.0,50.0
362,17564,4-May-22,RT3,8,24.0,33.33
363,16561,4-May-22,RT3,14,21.0,66.67
364,17560,4-May-22,RT3,14,25.0,56.0
365,18558,4-May-22,RT3,14,26.0,53.85
366,19558,4-May-22,RT3,9,21.0,42.86
367,16560,4-May-22,RT3,10,20.0,50.0
368,17561,4-May-22,RT3,10,19.0,52.63
369,18559,4-May-22,RT3,10,23.0,43.48
370,16563,4-May-22,RT3,12,20.0,60.0
371,17559,4-May-22,RT3,12,16.0,75.0
372,16562,4-May-22,RT3,11,18.0,61.11
373,18563,4-May-22,RT3,11,23.0,47.83
374,19560,4-May-22,RT3,11,19.0,57.89
375,17562,4-May-22,RT4,2,6.0,33.33
376,19559,4-May-22,RT4,2,3.0,66.67
377,16558,4-May-22,RT4,2,3.0,66.67
378,18561,4-May-22,RT4,4,9.0,44.44
379,16561,4-May-22,RT4,5,10.0,50.0
380,17560,4-May-22,RT4,6,13.0,46.15
381,17564,4-May-22,RT4,9,17.0,52.94
382,18560,4-May-22,RT4,10,15.0,66.67
383,19560,4-May-22,RT4,11,16.0,68.75
384,18559,4-May-22,RT4,8,19.0,42.11
385,17563,4-May-22,RT4,11,19.0,57.89
386,19562,4-May-22,RT4,8,14.0,57.14
387,17559,4-May-22,RT4,9,14.0,64.29
388,18558,4-May-22,RT4,11,20.0,55.0
389,18562,4-May-22,RT4,12,20.0,60.0
390,18563,4-May-22,RT4,8,18.0,44.44
391,16563,4-May-22,RT4,12,18.0,66.67
392,16559,4-May-22,RT4,11,18.0,61.11
393,16562,4-May-22,RT4,3,6.0,50.0
394,17558,4-May-22,RT4,3,6.0,50.0
395,19563,4-May-22,RT4,3,6.0,50.0
396,16560,4-May-22,RT4,3,7.0,42.86
397,19558,4-May-22,RT4,3,7.0,42.86
398,19561,4-May-22,RT4,3,7.0,42.86
399,17561,4-May-22,RT4,3,4.0,75.0
400,16559,5-May-22,RT1,16,30.0,53.33
401,18560,5-May-22,RT1,15,30.0,50.0
402,19562,5-May-22,RT1,19,30.0,63.33
403,19563,5-May-22,RT1,14,30.0,46.67
404,17558,5-May-22,RT1,10,19.0,52.63
405,16558,5-May-22,RT1,12,19.0,63.16
406,17560,5-May-22,RT1,20,40.0,50.0
407,19558,5-May-22,RT1,18,40.0,45.0
408,19560,5-May-22,RT1,18,26.0,69.23
409,17561,5-May-22,RT1,15,26.0,57.69
410,16560,5-May-22,RT1,17,34.0,50.0
411,16561,5-May-22,RT1,13,18.0,72.22
412,16562,5-May-22,RT1,15,31.0,48.39
413,16563,5-May-22,RT1,30,41.0,73.17
414,17559,5-May-22,RT1,21,32.0,65.62
415,17562,5-May-22,RT1,8,20.0,40.0
416,17563,5-May-22,RT1,18,25.0,72.0
417,18558,5-May-22,RT1,8,15.0,53.33
418,18559,5-May-22,RT1,16,42.0,38.1
419,18561,5-May-22,RT1,25,33.0,75.76
420,18562,5-May-22,RT1,24,38.0,63.16
421,18563,5-May-22,RT1,14,27.0,51.85
422,19559,5-May-22,RT1,13,24.0,54.17
423,19561,5-May-22,RT1,17,36.0,47.22
424,17564,5-May-22,RT1,6,16.0,37.5
425,19562,5-May-22,RT2,15,23.0,65.22
426,18563,5-May-22,RT2,14,29.0,48.28
427,17561,5-May-22,RT2,25,36.0,69.44
428,17558,5-May-22,RT2,29,50.0,58.0
429,16562,5-May-22,RT2,20,43.0,46.51
430,16561,5-May-22,RT2,15,24.0,62.5
431,16558,5-May-22,RT2,13,22.0,59.09
432,19560,5-May-22,RT2,27,38.0,71.05
433,16563,5-May-22,RT2,25,38.0,65.79
434,16559,5-May-22,RT2,24,41.0,58.54
435,19559,5-May-22,RT2,23,41.0,56.1
436,19558,5-May-22,RT2,20,39.0,51.28
437,17559,5-May-22,RT2,26,39.0,66.67
438,16560,5-May-22,RT2,19,34.0,55.88
439,18562,5-May-22,RT2,22,34.0,64.71
440,18559,5-May-22,RT2,22,44.0,50.0
441,17563,5-May-22,RT2,28,44.0,63.64
442,17562,5-May-22,RT2,13,30.0,43.33
443,18558,5-May-22,RT2,15,30.0,50.0
444,17564,5-May-22,RT2,18,40.0,45.0
445,18561,5-May-22,RT2,26,40.0,65.0
446,18560,5-May-22,RT2,26,40.0,65.0
447,17560,5-May-22,RT2,20,45.0,44.44
448,19561,5-May-22,RT2,21,45.0,46.67
449,19563,5-May-22,RT2,22,45.0,48.89
450,19563,5-May-22,RT3,14,29.0,48.28
451,19562,5-May-22,RT3,19,29.0,65.52
452,19561,5-May-22,RT3,14,29.0,48.28
453,18562,5-May-22,RT3,18,29.0,62.07
454,17558,5-May-22,RT3,14,27.0,51.85
455,17562,5-May-22,RT3,11,27.0,40.74
456,19559,5-May-22,RT3,14,27.0,51.85
457,16559,5-May-22,RT3,20,32.0,62.5
458,16558,5-May-22,RT3,4,8.0,50.0
459,18561,5-May-22,RT3,15,25.0,60.0
460,18560,5-May-22,RT3,16,24.0,66.67
461,17560,5-May-22,RT3,13,25.0,52.0
462,16563,5-May-22,RT3,14,20.0,70.0
463,16562,5-May-22,RT3,9,18.0,50.0
464,19558,5-May-22,RT3,9,21.0,42.86
465,16560,5-May-22,RT3,10,20.0,50.0
466,17559,5-May-22,RT3,10,16.0,62.5
467,17563,5-May-22,RT3,10,16.0,62.5
468,18559,5-May-22,RT3,10,23.0,43.48
469,16561,5-May-22,RT3,12,21.0,57.14
470,18558,5-May-22,RT3,12,26.0,46.15
471,19560,5-May-22,RT3,12,19.0,63.16
472,17564,5-May-22,RT3,12,24.0,50.0
473,17561,5-May-22,RT3,11,19.0,57.89
474,18563,5-May-22,RT3,11,23.0,47.83
475,19559,5-May-22,RT4,2,3.0,66.67
476,16558,5-May-22,RT4,2,3.0,66.67
477,16560,5-May-22,RT4,4,7.0,57.14
478,19561,5-May-22,RT4,4,7.0,57.14
479,18561,5-May-22,RT4,5,9.0,55.56
480,16561,5-May-22,RT4,6,10.0,60.0
481,17560,5-May-22,RT4,6,13.0,46.15
482,17564,5-May-22,RT4,7,17.0,41.18
483,18560,5-May-22,RT4,10,15.0,66.67
484,19560,5-May-22,RT4,10,16.0,62.5
485,18559,5-May-22,RT4,8,19.0,42.11
486,17563,5-May-22,RT4,12,19.0,63.16
487,19562,5-May-22,RT4,9,14.0,64.29
488,17559,5-May-22,RT4,8,14.0,57.14
489,18558,5-May-22,RT4,11,20.0,55.0
490,18562,5-May-22,RT4,12,20.0,60.0
491,18563,5-May-22,RT4,10,18.0,55.56
492,16563,5-May-22,RT4,12,18.0,66.67
493,16559,5-May-22,RT4,13,18.0,72.22
494,16562,5-May-22,RT4,3,6.0,50.0
495,17558,5-May-22,RT4,3,6.0,50.0
496,17562,5-May-22,RT4,3,6.0,50.0
497,19563,5-May-22,RT4,3,6.0,50.0
498,19558,5-May-22,RT4,3,7.0,42.86
499,17561,5-May-22,RT4,3,4.0,75.0
500,16559,6-May-22,RT1,21,30.0,70.0
501,18560,6-May-22,RT1,20,30.0,66.67
502,19562,6-May-22,RT1,18,30.0,60.0
503,19563,6-May-22,RT1,15,30.0,50.0
504,17558,6-May-22,RT1,9,19.0,47.37
505,16558,6-May-22,RT1,10,19.0,52.63
506,17560,6-May-22,RT1,18,40.0,45.0
507,19558,6-May-22,RT1,18,40.0,45.0
508,19560,6-May-22,RT1,17,26.0,65.38
509,17561,6-May-22,RT1,16,26.0,61.54
510,16560,6-May-22,RT1,19,34.0,55.88
511,16561,6-May-22,RT1,12,18.0,66.67
512,16562,6-May-22,RT1,14,31.0,45.16
513,16563,6-May-22,RT1,23,41.0,56.1
514,17559,6-May-22,RT1,19,32.0,59.38
515,17562,6-May-22,RT1,8,20.0,40.0
516,17563,6-May-22,RT1,14,25.0,56.0
517,18558,6-May-22,RT1,7,15.0,46.67
518,18559,6-May-22,RT1,18,42.0,42.86
519,18561,6-May-22,RT1,23,33.0,69.7
520,18562,6-May-22,RT1,24,38.0,63.16
521,18563,6-May-22,RT1,12,27.0,44.44
522,19559,6-May-22,RT1,14,24.0,58.33
523,19561,6-May-22,RT1,20,36.0,55.56
524,17564,6-May-22,RT1,7,16.0,43.75
525,19562,6-May-22,RT2,18,23.0,78.26
526,18563,6-May-22,RT2,15,29.0,51.72
527,17561,6-May-22,RT2,20,36.0,55.56
528,17558,6-May-22,RT2,29,50.0,58.0
529,16562,6-May-22,RT2,24,43.0,55.81
530,16561,6-May-22,RT2,14,24.0,58.33
531,16558,6-May-22,RT2,15,22.0,68.18
532,19560,6-May-22,RT2,22,38.0,57.89
533,16563,6-May-22,RT2,27,38.0,71.05
534,16559,6-May-22,RT2,23,41.0,56.1
535,19559,6-May-22,RT2,20,41.0,48.78
536,19558,6-May-22,RT2,14,39.0,35.9
537,17559,6-May-22,RT2,25,39.0,64.1
538,16560,6-May-22,RT2,18,34.0,52.94
539,18562,6-May-22,RT2,26,34.0,76.47
540,18559,6-May-22,RT2,20,44.0,45.45
541,17563,6-May-22,RT2,28,44.0,63.64
542,17562,6-May-22,RT2,12,30.0,40.0
543,18558,6-May-22,RT2,17,30.0,56.67
544,17564,6-May-22,RT2,18,40.0,45.0
545,18561,6-May-22,RT2,23,40.0,57.5
546,18560,6-May-22,RT2,24,40.0,60.0
547,17560,6-May-22,RT2,22,45.0,48.89
548,19561,6-May-22,RT2,24,45.0,53.33
549,19563,6-May-22,RT2,23,45.0,51.11
550,19563,6-May-22,RT3,14,29.0,48.28
551,19562,6-May-22,RT3,20,29.0,68.97
552,19561,6-May-22,RT3,13,29.0,44.83
553,18562,6-May-22,RT3,21,29.0,72.41
554,17558,6-May-22,RT3,12,27.0,44.44
555,17562,6-May-22,RT3,10,27.0,37.04
556,19559,6-May-22,RT3,13,27.0,48.15
